# Mediçao de tempo de algoritmos de busca (WORST CASE): 
#Tamanho       LSearch        BSearch        BSearch_Rec    LBound         UBound         TSearch        ISearch        ESearch        
0              131.85         121.02         135.18         125.13         122.69         119.69         130.99         122.63         
1000000        172869.95      128.35         134.21         127.22         135.04         124.50         124.36         122.55         
2000000        320559.90      128.35         133.37         131.49         122.21         145.51         116.28         125.76         
3000000        409772.23      139.65         134.49         127.23         125.07         128.41         121.58         120.87         
4000000        562958.11      129.74         133.23         150.76         124.30         137.91         136.57         117.81         
5000000        745910.25      132.19         126.81         130.09         136.51         137.41         124.36         121.57         
6000000        973743.27      137.35         129.11         123.81         124.16         130.44         120.81         137.63         
7000000        1314416.98     130.23         126.88         114.38         120.11         124.02         116.34         117.60         
8000000        1484185.65     119.90         129.68         111.25         121.02         119.20         122.97         122.13         
9000000        1466657.13     119.34         130.31         130.85         131.55         133.93         126.18         118.02         
10000000       1912634.68     138.74         132.67         121.29         121.23         134.13         124.58         125.13         
11000000       1983591.27     125.06         188.71         119.41         121.91         119.97         127.29         114.04         
12000000       1528674.29     124.86         142.38         116.97         128.62         118.78         121.57         118.09         
13000000       2466395.04     120.81         137.83         118.01         126.80         114.74         131.22         124.72         
14000000       2355524.53     115.71         127.23         119.34         128.84         128.41         125.27         127.23         
15000000       1406913.25     121.65         143.08         120.11         120.18         118.79         119.96         112.57         
16000000       3079624.04     121.64         133.85         121.86         116.76         123.25         129.89         113.90         
17000000       2045912.81     122.20         130.79         128.42         125.83         123.39         125.00         112.22         
18000000       2547802.07     122.20         131.76         124.43         126.18         122.62         121.92         113.27         
19000000       2948376.36     131.90         128.62         125.13         124.78         116.90         125.69         114.39         
20000000       3275332.42     119.06         127.44         119.20         118.02         119.89         127.16         114.04         
21000000       3529999.39     116.62         131.84         118.01         126.74         114.53         122.20         114.87         
22000000       3088269.33     112.71         130.78         120.39         125.90         115.70         115.57         124.37         
23000000       4278069.73     116.83         130.23         123.53         124.02         114.53         123.94         135.82         
24000000       4677047.75     114.32         127.37         119.34         123.46         115.30         124.44         121.43         
25000000       4794528.89     115.51         128.63         201.76         132.95         113.97         121.22         112.92         
26000000       3817725.74     117.87         128.84         119.76         135.20         112.71         119.90         115.99         
27000000       5109786.17     125.90         130.51         125.49         121.51         124.58         116.90         122.13         
28000000       4547801.44     117.39         134.42         133.92         124.86         113.41         124.01         118.37         
29000000       5043128.34     118.51         135.81         127.85         123.04         123.67         120.88         115.92         
30000000       5380739.72     118.43         130.57         119.83         118.93         120.46         123.46         109.22         
31000000       5400046.86     117.46         132.05         121.16         126.11         132.81         118.22         106.92         
32000000       5667137.05     119.13         133.23         124.86         115.36         124.78         128.28         122.83         
33000000       4873986.43     125.69         126.04         122.69         119.62         125.20         123.04         112.09         
34000000       6271668.52     116.97         129.40         125.49         125.83         121.71         121.92         109.64         
