# Mediçao de tempo de algoritmos de busca (WORST CASE): 
#Tamanho       LSearch        BSearch        BSearch_Rec    LBound         UBound         TSearch        ISearch        ESearch        
0              120.80         120.27         125.16         116.29         135.92         108.05         124.25         123.90         
10000          848.12         126.00         131.03         116.78         119.23         109.73         136.90         117.89         
20000          1547.08        125.23         123.07         124.67         118.46         119.92         123.21         114.54         
30000          2262.87        129.98         120.13         138.43         117.62         135.70         139.69         127.96         
40000          2969.24        125.65         125.16         141.36         128.87         116.08         120.13         113.57         
50000          3674.48        118.88         126.35         130.96         123.49         119.78         123.97         116.64         
60000          4384.33        121.74         124.39         134.73         124.18         120.34         117.62         123.27         
70000          5079.93        138.36         125.86         125.93         124.39         128.93         113.21         125.37         
80000          5797.26        132.21         129.98         127.81         125.58         119.64         113.78         120.41         
90000          6480.01        135.70         128.86         127.67         123.76         122.51         120.69         119.85         
100000         7163.88        153.03         125.44         128.93         124.53         123.21         110.01         120.06         
110000         7896.72        140.18         128.31         124.95         118.59         132.70         109.80         125.16         
120000         8630.04        127.40         128.09         125.23         119.92         121.32         109.94         119.44         
130000         9348.35        130.68         135.50         139.83         118.25         117.62         112.59         119.71         
140000         10116.62       131.10         131.16         127.75         116.08         116.01         108.88         119.99         
150000         11021.33       129.56         132.01         113.84         120.21         128.23         110.01         134.66         
160000         11723.57       126.07         131.03         110.91         123.90         120.76         109.52         117.89         
170000         12350.35       123.77         128.58         123.55         120.28         115.31         109.31         126.28         
180000         13132.38       138.36         127.12         111.82         117.90         116.36         133.19         120.06         
190000         13820.80       126.21         128.17         113.78         119.85         119.22         116.99         125.58         
200000         14525.41       139.20         127.11         118.81         121.81         126.28         127.12         136.82         
210000         32679.80       113.98         142.62         122.58         121.04         125.16         127.81         120.14         
220000         41598.19       124.88         130.33         117.06         124.74         123.69         140.18         128.72         
230000         43504.67       116.92         127.54         127.95         124.95         119.65         128.86         139.13         
240000         45374.32       116.22         130.26         112.73         131.10         130.46         130.47         120.06         
250000         47291.91       118.73         138.50         113.01         125.65         125.72         120.62         116.29         
260000         49216.49       113.08         128.17         115.94         126.63         119.92         135.29         118.95         
270000         51018.94       126.49         128.23         120.34         123.21         118.25         119.50         135.71         
280000         52909.83       124.67         135.29         115.45         132.84         132.01         113.43         129.56         
290000         54820.91       118.60         144.92         114.61         125.02         117.97         117.27         113.92         
300000         56644.61       112.38         132.92         115.74         120.83         120.69         125.58         113.78         
310000         58577.27       125.58         134.86         115.52         118.03         119.71         117.69         109.52         
320000         60511.67       110.71         136.89         118.73         128.09         126.56         121.88         111.05         
330000         62430.12       113.84         130.40         112.94         191.58         118.95         123.91         119.50         
340000         64265.75       113.08         129.28         111.33         128.24         123.28         131.31         110.84         
350000         66223.59       123.90         132.91         112.38         129.21         123.14         120.62         123.55         
360000         68003.32       113.71         141.02         118.39         132.42         130.75         122.02         114.19         
370000         69809.26       111.33         119.64         120.90         128.16         118.10         123.90         115.03         
380000         71765.41       118.18         114.82         123.21         126.21         122.01         131.59         132.43         
390000         73676.71       120.06         117.62         118.18         118.18         113.22         115.60         113.36         
400000         75506.40       135.78         113.85         124.95         131.80         113.71         125.65         121.18         
410000         77443.98       118.73         118.66         123.90         120.55         110.50         116.50         107.56         
420000         79196.74       124.95         115.18         126.83         119.43         111.26         119.78         109.30         
430000         81074.16       122.64         114.06         124.12         117.27         111.06         120.62         109.30         
440000         82877.45       141.37         115.80         125.02         129.84         121.95         120.55         120.69         
450000         81023.37       134.80         132.07         128.31         131.65         111.04         123.70         109.31         
460000         33069.80       120.69         130.95         133.89         116.29         111.76         122.72         110.63         
470000         33760.65       115.45         132.43         121.53         112.17         126.00         116.78         115.59         
480000         89774.72       111.33         125.09         123.00         125.65         139.83         121.88         128.93         
490000         94044.41       111.40         132.71         121.11         114.76         128.44         122.51         118.32         
500000         95911.91       117.76         127.40         118.25         110.77         125.44         122.92         117.27         
510000         97794.56       115.38         128.38         118.39         117.41         125.30         119.22         123.48         
520000         99918.96       124.33         133.75         120.63         112.80         146.95         122.02         125.93         
530000         86224.75       118.52         135.64         126.42         125.51         124.39         125.58         117.06         
540000         75668.85       122.86         131.80         119.85         119.30         124.89         125.02         117.68         
550000         78703.98       132.84         129.42         116.92         113.92         134.80         118.53         117.90         
560000         107538.12      116.50         128.79         118.11         115.03         134.52         122.72         116.22         
570000         108256.22      115.25         138.58         121.18         132.14         122.86         118.32         115.03         
580000         110350.73      117.97         130.47         123.14         122.92         117.48         127.26         123.69         
590000         111507.96      114.62         131.73         124.53         128.93         125.09         119.22         116.85         
600000         113250.73      116.29         133.33         120.06         122.37         124.25         122.79         112.17         
610000         115029.78      117.48         131.52         125.30         124.39         129.15         124.60         122.01         
620000         117092.76      115.66         127.81         126.84         130.19         126.84         120.97         119.71         
630000         118886.77      112.66         130.96         116.08         125.93         128.24         127.47         115.31         
640000         121153.90      111.68         140.18         121.39         117.34         146.95         125.58         120.20         
650000         122650.96      125.58         131.24         118.24         125.23         134.80         120.56         133.89         
660000         124269.64      111.47         131.17         119.57         122.72         129.56         116.57         114.13         
670000         126626.63      113.99         129.21         117.83         121.39         122.16         140.38         123.97         
680000         128796.93      125.09         139.76         121.95         116.50         150.58         121.18         115.59         
690000         130385.65      142.70         130.05         121.18         126.98         133.47         132.43         122.72         
700000         132477.36      124.88         127.53         123.63         118.11         140.25         126.35         123.13         
710000         134211.06      122.09         129.56         128.44         120.27         133.75         136.27         117.54         
720000         135529.11      118.53         138.78         119.92         117.34         124.46         129.77         114.54         
730000         137356.23      134.38         128.16         116.92         125.65         115.80         118.39         121.39         
740000         140725.50      125.86         126.91         123.28         116.29         126.00         138.92         116.85         
750000         143900.45      123.42         129.14         141.58         116.50         126.77         115.10         117.55         
760000         146130.29      136.69         127.74         136.12         117.69         224.41         113.36         119.22         
770000         147907.87      137.32         132.57         121.87         122.92         129.77         116.57         124.60         
780000         148764.02      122.64         127.95         110.84         117.13         127.26         113.77         121.11         
790000         150262.49      117.83         128.30         119.93         115.24         138.43         121.04         120.76         
800000         152523.15      121.46         138.99         112.31         120.06         126.70         112.87         116.15         
810000         126080.06      133.47         129.77         118.73         122.30         122.86         112.24         126.84         
820000         61853.70       121.81         130.05         116.57         122.09         117.41         114.41         112.45         
830000         81067.96       118.25         131.73         119.50         120.41         126.28         116.22         116.29         
840000         163067.74      122.16         137.10         112.45         118.17         119.36         116.36         122.23         
850000         162250.79      124.60         126.48         117.06         121.67         121.32         116.36         122.44         
860000         164288.13      118.74         126.70         128.10         120.48         118.32         114.68         118.67         
870000         166711.14      119.15         129.84         124.32         123.14         125.86         123.62         117.34         
880000         168146.97      121.04         129.28         125.17         122.58         117.13         111.54         117.62         
890000         169966.03      134.73         127.46         115.87         119.85         122.16         108.82         128.52         
900000         172785.41      123.97         131.10         130.05         127.19         119.50         109.24         117.83         
910000         164977.17      117.27         130.75         136.82         117.55         122.50         108.96         118.11         
920000         72229.51       123.69         143.32         136.41         115.87         121.46         124.11         118.52         
930000         72545.11       132.77         133.48         128.09         123.42         119.44         116.71         127.05         
940000         73058.71       118.25         141.85         121.46         133.05         124.95         124.04         131.73         
950000         110333.93      120.83         139.76         138.15         115.87         123.83         120.90         128.30         
960000         144890.95      119.79         125.16         121.24         123.13         125.79         124.53         108.33         
970000         75716.34       137.39         130.26         116.15         125.65         121.95         120.62         119.78         
980000         186940.76      119.15         124.67         117.61         142.76         122.16         116.99         110.98         
990000         91371.82       120.28         130.82         129.91         128.65         120.90         118.46         109.93         
1000000        77372.56       120.27         150.23         118.25         138.15         121.74         131.80         107.77         
1010000        103341.98      133.48         140.87         121.53         132.98         120.06         121.67         106.38         
1020000        197046.35      122.43         134.94         122.15         111.69         128.87         119.71         120.62         
1030000        200245.62      123.21         159.25         125.37         117.13         130.26         124.04         108.61         
1040000        201544.27      120.62         129.28         123.48         119.78         123.41         122.92         113.57         
1050000        203006.61      125.86         118.18         119.51         122.86         126.14         118.18         116.92         
1060000        205069.25      125.30         115.38         121.11         118.31         120.34         118.04         126.49         
1070000        207108.99      118.88         125.65         131.94         120.20         127.12         120.84         117.62         
1080000        209178.39      123.98         115.73         118.38         118.11         120.69         124.39         123.14         
1090000        210816.15      126.14         118.80         120.13         139.83         120.62         123.97         123.14         
1100000        212702.73      122.79         115.38         124.60         119.44         124.32         121.60         128.38         
1110000        214780.19      122.93         129.98         131.59         117.97         115.38         123.07         128.23         
1120000        217708.72      119.23         123.14         125.02         122.65         133.48         121.74         125.16         
1130000        218964.71      133.12         120.76         116.16         116.08         122.86         116.92         127.61         
1140000        220582.36      116.50         115.17         123.90         122.99         124.11         121.11         129.36         
1150000        222634.81      120.41         116.57         129.42         116.57         125.65         117.06         128.16         
1160000        149256.23      181.74         144.58         121.74         113.22         139.55         127.82         122.78         
1170000        229445.03      133.19         132.56         121.32         112.24         122.72         122.23         118.18         
1180000        228347.40      125.10         135.00         123.97         113.22         127.40         121.32         121.18         
1190000        230490.43      124.81         134.59         129.42         121.60         130.68         124.74         116.71         
1200000        232017.19      121.53         141.09         121.39         114.55         116.01         123.42         119.16         
1210000        231957.39      136.34         131.24         122.09         116.78         112.73         130.47         113.71         
1220000        234226.66      128.79         133.27         123.28         115.66         118.17         125.85         127.12         
1230000        235050.49      133.41         131.24         126.63         120.90         115.04         121.81         116.71         
1240000        233382.95      131.17         133.06         119.08         116.57         131.31         128.16         116.99         
1250000        237686.49      126.91         129.84         125.30         122.86         125.09         125.16         119.16         
1260000        240308.21      123.28         132.08         118.32         117.90         114.68         130.82         121.46         
1270000        243577.34      117.06         129.77         122.22         134.24         118.17         119.78         119.09         
1280000        246663.23      123.77         139.76         118.74         119.51         122.16         115.94         127.33         
1290000        246477.59      120.62         126.35         122.64         120.21         120.55         112.38         123.84         
1300000        247780.46      128.45         132.29         118.88         118.03         120.69         108.40         119.92         
1310000        250763.43      119.01         136.06         121.88         121.67         111.54         112.03         116.78         
1320000        252477.10      123.41         127.25         128.44         121.18         128.03         111.90         122.65         
1330000        254240.23      119.92         128.72         121.18         124.60         116.64         112.03         112.87         
1340000        256290.77      123.84         131.51         121.32         129.63         116.77         109.38         122.23         
1350000        258702.15      124.60         138.78         117.27         139.90         115.52         116.78         120.27         
1360000        260787.52      125.09         131.94         134.52         132.07         122.37         111.05         122.51         
1370000        261638.81      122.44         130.96         116.01         128.93         111.33         126.42         116.64         
1380000        263476.76      116.08         130.54         119.16         129.77         112.37         120.55         136.75         
1390000        266569.76      119.50         126.42         124.47         117.41         122.02         111.12         126.07         
1400000        269255.15      120.62         132.00         137.17         121.67         125.02         110.98         125.79         
1410000        270484.35      134.73         131.10         129.63         118.59         120.83         110.29         119.08         
1420000        270750.19      127.67         131.03         125.79         125.30         113.49         110.43         132.57         
1430000        272574.17      124.67         141.65         137.66         126.55         116.85         110.63         118.46         
1440000        274933.07      147.72         126.56         135.98         125.58         121.60         115.31         121.74         
1450000        276476.69      144.79         127.96         120.90         122.65         120.27         113.85         118.95         
1460000        278567.69      132.35         132.21         121.81         127.61         119.44         120.27         133.19         
1470000        280591.59      132.22         134.24         120.90         138.36         117.90         119.15         119.44         
1480000        282350.47      131.52         127.54         123.07         124.04         118.46         120.41         119.58         
1490000        284246.45      143.95         129.35         121.81         119.99         130.12         117.21         119.71         
1500000        286179.47      125.58         130.12         119.43         119.57         121.25         118.52         130.26         
1510000        288362.79      124.39         130.12         122.02         121.25         121.88         120.76         116.57         
1520000        266931.47      111.68         128.02         125.09         119.29         124.46         122.23         124.95         
1530000        297536.54      115.38         129.77         119.29         118.88         128.44         121.81         117.48         
1540000        299249.25      114.82         129.91         121.18         122.09         122.86         116.36         119.30         
1550000        235725.53      113.71         146.04         122.16         123.55         128.73         126.49         137.03         
1560000        238024.24      114.96         132.29         130.12         124.18         122.93         128.30         140.04         
1570000        298849.04      113.01         130.68         122.72         124.75         130.89         134.31         128.03         
1580000        298702.65      113.92         134.94         125.16         123.28         116.78         127.75         126.56         
1590000        303057.65      110.98         136.48         185.15         131.65         126.35         127.54         123.14         
1600000        305109.23      116.85         133.54         127.61         126.00         123.41         128.80         124.53         
1610000        303276.40      130.33         143.39         126.63         123.07         130.96         129.00         129.15         
1620000        309055.88      123.14         147.51         125.37         118.10         117.06         119.51         131.10         
1630000        310447.86      119.86         132.70         128.79         127.74         121.53         115.31         122.37         
1640000        297266.96      125.16         132.63         126.21         122.72         124.88         118.17         119.51         
1650000        181601.62      124.04         130.61         121.94         125.58         121.04         118.81         122.51         
1660000        322510.18      121.74         143.60         123.83         125.44         122.93         117.62         118.17         
1670000        325200.11      123.76         134.24         124.81         135.01         117.41         119.85         122.02         
1680000        326886.35      123.27         136.69         123.90         119.22         117.62         122.92         117.89         
1690000        329620.88      122.30         137.80         121.04         116.99         126.90         132.98         113.98         
1700000        330154.65      124.96         140.39         122.51         109.86         118.74         119.16         125.73         
1710000        331555.75      122.79         134.04         207.79         130.96         126.21         120.48         118.32         
1720000        333895.88      125.86         126.28         116.29         125.23         121.46         121.04         115.31         
1730000        335856.58      124.74         127.60         118.60         123.97         118.95         115.80         114.12         
1740000        333519.29      123.07         138.22         125.72         116.92         134.73         125.37         110.35         
1750000        343384.72      121.81         128.80         125.09         132.50         118.17         121.46         114.61         
1760000        343497.41      118.59         132.77         120.13         127.40         120.20         129.77         132.84         
1770000        345127.68      121.46         130.12         120.41         125.51         121.18         124.18         124.53         
1780000        347061.73      130.05         137.60         120.20         110.92         138.64         122.51         120.34         
1790000        208516.47      121.25         126.07         118.46         114.27         124.67         118.25         123.97         
1800000        141550.60      118.03         131.10         128.23         117.97         117.97         125.44         120.62         
1810000        332576.05      119.15         131.09         118.87         112.10         123.28         121.94         120.27         
1820000        354799.83      117.62         143.18         120.90         112.24         128.45         122.51         118.04         
1830000        357422.62      120.62         132.91         120.55         113.07         122.93         122.23         118.67         
1840000        359307.35      123.28         129.56         125.58         123.21         129.91         115.59         122.79         
1850000        362223.61      116.78         128.30         122.09         115.52         126.35         119.22         117.48         
1860000        363730.28      125.37         130.40         119.57         116.71         156.38         127.32         131.86         
1870000        323495.18      125.09         127.96         116.29         111.89         132.35         124.11         113.99         
1880000        366306.87      117.13         128.58         130.39         111.89         127.39         122.93         115.52         
1890000        367813.15      123.21         133.61         120.20         112.03         119.08         120.34         113.50         
1900000        369204.73      129.49         128.02         120.06         111.68         117.13         132.77         122.78         
1910000        372939.41      116.92         130.89         118.95         117.06         115.80         124.11         134.24         
1920000        374194.18      123.48         129.98         129.28         115.24         118.60         126.14         120.28         
1930000        375202.34      119.50         140.53         116.64         122.36         117.97         121.67         117.13         
1940000        377383.99      136.62         129.21         118.39         118.94         118.04         128.23         117.34         
1950000        379414.19      120.41         127.33         119.02         128.45         123.35         119.58         126.21         
1960000        374604.83      124.39         128.72         122.30         124.26         113.91         119.50         118.66         
1970000        366253.16      125.79         137.17         123.21         130.96         113.99         119.57         118.25         
1980000        376224.02      124.60         133.75         115.10         126.28         123.21         116.64         123.21         
1990000        381151.85      120.48         128.37         121.74         122.44         118.74         121.60         128.73         
2000000        272961.70      124.18         128.16         126.84         119.01         116.71         122.37         121.25         
2010000        275420.97      118.46         131.24         120.41         135.92         115.46         130.89         119.78         
2020000        392990.98      127.40         127.61         119.99         121.74         117.97         125.52         119.92         
2030000        392558.14      121.39         132.08         123.84         121.25         115.66         124.26         118.81         
2040000        391458.14      124.53         132.49         137.31         118.31         113.98         129.28         123.07         
2050000        392976.17      116.99         125.93         124.53         136.48         129.00         129.70         120.20         
2060000        394081.58      117.34         132.99         133.61         123.83         136.34         126.35         115.52         
2070000        395433.93      126.07         130.33         145.00         121.53         126.91         123.90         133.41         
2080000        273576.90      124.11         129.28         138.85         185.72         122.65         124.46         120.48         
2090000        401279.95      122.99         137.24         123.97         126.84         125.38         128.73         121.53         
2100000        400814.27      117.06         132.57         129.14         131.80         124.74         133.48         118.46         
2110000        402666.02      122.02         132.15         132.08         128.17         148.70         113.36         129.28         
2120000        328232.72      118.24         133.19         142.00         121.32         126.84         113.00         120.83         
2130000        177708.98      126.28         129.83         125.44         128.86         125.23         108.89         125.23         
2140000        172672.08      124.67         130.47         127.67         119.37         121.81         127.89         117.34         
2150000        370472.96      122.93         129.84         124.18         126.49         126.14         117.41         131.52         
2160000        413579.15      126.63         129.77         139.97         134.10         123.00         116.71         123.21         
2170000        414503.02      134.52         133.13         110.42         122.02         119.86         129.49         117.20         
2180000        416677.99      153.86         127.19         116.29         116.57         124.11         137.04         119.30         
2190000        418503.40      122.02         131.94         111.82         123.28         120.34         115.10         128.02         
2200000        420379.96      124.25         130.68         121.67         129.00         118.95         109.93         116.78         
2210000        422417.33      121.67         131.58         114.61         121.60         119.78         112.45         124.81         
2220000        425557.85      128.03         135.84         113.77         119.64         118.04         110.28         124.04         
2230000        426408.07      118.38         146.95         118.87         116.08         129.21         114.89         123.07         
2240000        420712.15      118.52         142.48         144.51         123.70         123.20         110.29         118.81         
2250000        433009.80      118.32         137.80         123.28         124.53         119.99         110.49         111.68         
2260000        436448.27      118.66         139.27         127.33         119.29         122.58         110.50         123.70         
2270000        436869.74      118.45         135.98         130.75         121.11         119.85         120.97         125.16         
2280000        439245.64      132.42         137.66         122.37         121.18         115.80         115.94         128.09         
2290000        440666.53      130.27         135.92         119.29         118.67         119.29         120.62         128.59         
2300000        416544.31      114.40         137.59         122.23         118.53         119.30         117.41         116.08         
2310000        211048.78      121.94         128.16         120.62         114.06         118.45         118.60         125.02         
2320000        208128.29      116.28         134.87         119.78         118.18         119.71         117.90         111.61         
2330000        445584.80      115.31         119.15         129.77         124.46         123.76         119.29         116.50         
2340000        447900.39      114.82         119.02         113.49         121.53         121.53         116.78         111.82         
2350000        347157.03      119.15         115.10         116.72         125.58         123.20         125.93         109.16         
2360000        211008.35      113.50         125.09         113.50         124.67         124.54         125.93         110.42         
2370000        455714.77      116.15         116.99         111.96         137.38         118.10         122.16         122.16         
2380000        422910.73      111.54         116.43         114.69         132.42         122.58         122.58         116.29         
2390000        373677.36      114.82         115.94         112.38         131.59         130.40         122.57         115.94         
2400000        473197.95      112.03         118.53         111.19         119.15         122.58         117.62         128.59         
2410000        452104.64      112.52         117.62         123.06         138.92         129.21         116.36         124.67         
2420000        271129.60      115.94         134.73         116.15         119.51         115.59         119.86         120.28         
2430000        316428.80      119.58         132.92         113.15         115.25         135.08         123.14         116.99         
2440000        396671.62      129.14         130.32         113.36         116.50         125.23         123.90         120.76         
2450000        472694.79      120.97         131.59         114.55         144.58         124.81         124.88         121.04         
